run_init_utc,variable,lead_hours,reason
2024-06-25T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-26T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-27T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-28T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-29T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-30T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-01T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-02T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-03T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-04T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-05T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-06T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-07T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-08T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-09T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-10T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-11T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-12T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-13T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-14T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-15T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-16T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-17T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-18T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-19T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-20T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-21T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-22T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-23T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-24T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-25T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-26T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-27T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-28T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-29T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-30T18:00:00Z,*,0-71,modelRunUnavailable
2024-07-31T18:00:00Z,*,0-71,modelRunUnavailable
2024-08-01T18:00:00Z,*,0-71,modelRunUnavailable
2024-08-02T18:00:00Z,*,0-71,modelRunUnavailable
2024-08-03T18:00:00Z,*,0-71,modelRunUnavailable
2024-08-04T18:00:00Z,*,0-71,modelRunUnavailable
2024-08-05T18:00:00Z,*,0-71,modelRunUnavailable
2025-08-04T12:00:00Z,relative_humidity_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-04T12:00:00Z,surface_pressure,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-04T12:00:00Z,temperature_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-04T12:00:00Z,wind_direction_100m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-04T12:00:00Z,wind_speed_100m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-04T12:00:00Z,wind_speed_120m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-04T12:00:00Z,wind_speed_80m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-04T18:00:00Z,*,0-71,modelRunUnavailable
2025-08-05T12:00:00Z,relative_humidity_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T12:00:00Z,surface_pressure,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T12:00:00Z,temperature_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T12:00:00Z,wind_direction_100m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T12:00:00Z,wind_gusts_10m,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T12:00:00Z,wind_speed_100m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T12:00:00Z,wind_speed_120m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T12:00:00Z,wind_speed_80m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T18:00:00Z,wind_direction_100m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T18:00:00Z,wind_gusts_10m,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T18:00:00Z,wind_speed_100m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T18:00:00Z,wind_speed_120m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-05T18:00:00Z,wind_speed_80m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-06T12:00:00Z,relative_humidity_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-06T12:00:00Z,surface_pressure,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-06T12:00:00Z,temperature_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-06T12:00:00Z,wind_gusts_10m,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-06T18:00:00Z,relative_humidity_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-06T18:00:00Z,surface_pressure,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
2025-08-06T18:00:00Z,temperature_2m,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71,null
